"1","1","Kamar A"
"2","1","Kamar B"
"3","2","Kamar II A"
"4","3","Kamar III 1"
"5","3","Kamar III 2"
"6","4","Kamar VIP 1"
"7","4","Kamar VIP 2"
"8","4","Kamar VIP 3"
"9","5","Gang"
"11","6","Kamar 2"
"13","5","Kamar 3"
"14","5","Kamar 4"
"15","7","Kamar Anggrek 6"
"16","8","Kamar Anggrek 3"
"17","8","Kamar Anggrek 2"
"18","9","Kamar 11"
"19","10","Kamar 12"
"20","10","Kamar 13"
"21","10","Kamar 14"
"22","9","Kamar 15"
"23","10","Kamar 16"
"24","11","Kamar 17"
"25","11","Kamar 18"
"26","11","Kamar 20"
"27","12","Kamar 21"
"28","12","Kamar 22"
"29","12","Kamar 23"
"30","12","Kamar 24"
"31","12","Kamar 25"
"32","12","Kamar 26"
"33","13","Kamar 1"
"34","13","Kamar 10"
"35","14","Kamar 2"
"36","13","Kamar 3"
"37","14","Kamar 4"
"38","14","Kamar 5"
"39","14","Kamar 6"
"40","14","Kamar 7"
"41","14","Kamar 8"
"42","13","Kamar 9"
"43","15","Kamar Neonatus"
"44","11","Kamar 19"
"45","7","Kamar 1B"
